batter,family,pitches,whiff,slg,xwoba
656537,Offspeed,101,0.3673469387755102,0.36,0.3204113333333333
656555,Breaking,444,0.3472222222222222,0.4794520547945205,0.29422930952380955
656555,Fastball,806,0.2774869109947644,0.38953488372093026,0.30923911734693876
656555,Offspeed,150,0.5,0.34375,0.23476648648648651
656577,Breaking,87,0.33962264150943394,0.6363636363636364,0.31624175
656577,Fastball,166,0.28421052631578947,0.24390243902439024,0.17509505128205127
656582,Breaking,92,0.2903225806451613,0.5882352941176471,0.4284135
656582,Fastball,152,0.16923076923076924,0.20689655172413793,0.3002932173913044
656716,Breaking,373,0.21794871794871795,0.26744186046511625,0.2977111182795699
656716,Fastball,852,0.10344827586206896,0.3541666666666667,0.30379638834951456
656716,Offspeed,224,0.2796610169491525,0.15254237288135594,0.20276453333333333
656775,Breaking,479,0.2553191489361702,0.3069306930693069,0.2023933425925926
656775,Fastball,1092,0.21875,0.35564853556485354,0.274029078358209
656775,Offspeed,204,0.20430107526881722,0.4375,0.30370222916666667
656811,Breaking,500,0.34156378600823045,0.39316239316239315,0.26307431967213113
656811,Fastball,902,0.1366906474820144,0.4864864864864865,0.3518290085106383
656811,Offspeed,205,0.27586206896551724,0.2777777777777778,0.3216013076923077
656941,Breaking,990,0.4308755760368664,0.35135135135135137,0.3025714134615385
656941,Fastball,1107,0.25595238095238093,0.6582278481012658,0.4186651601423488
656941,Offspeed,343,0.3986013986013986,0.5909090909090909,0.34883357333333337
656976,Breaking,121,0.24324324324324326,0.15789473684210525,0.1656795
656976,Fastball,220,0.08333333333333333,0.19672131147540983,0.26193613114754094
656976,Offspeed,70,0.41935483870967744,0.38461538461538464,0.34047866666666665
657041,Breaking,505,0.29239766081871343,0.2962962962962963,0.24880654545454545
657041,Fastball,869,0.17783505154639176,0.43137254901960786,0.34503375
657041,Offspeed,161,0.32432432432432434,0.35,0.3030119024390244
657136,Breaking,279,0.3384615384615385,0.3508771929824561,0.28762231250000003
657136,Fastball,469,0.15765765765765766,0.39285714285714285,0.3210276440677966
